Geographic Area Name,Mean AGE ,Percent AGE Under 5 years,Percent AGE 5 to 9 years,Percent AGE 10 to 14 years,Percent AGE 15 to 19 years,Percent AGE 20 to 24 years,Percent AGE 25 to 34 years,Percent AGE 35 to 44 years,Percent AGE 45 to 54 years,Percent AGE 55 to 59 years,Percent AGE 60 to 64 years,Percent AGE 65 to 74 years,Percent AGE 75 to 84 years,Percent RACE Total population One  RACE ,Percent RACE Total population Two or more  RACES,Percent RACE One  RACE ,Percent RACE One  RACE White,Percent RACE One  RACE Black or African American,Percent RACE One  RACE American Indian and Alaska Native,Percent RACE One  RACE Asian,Percent HISPANIC OR LATINO AND  RACE Total population Hispanic or Latino (of any  RACE ),Percent RACE One  RACE Native Hawaiian and Other Pacific Islander
Pennsylvania,38.456,5.6,5.7,5.9,6.5,6.5,13.1,11.6,13.6,7.4,6.8,9.7,5.1,97.5,2.5,97.5,80.9,11,0.2,3.3,7,0
Rhode Island,38.1655,5.1,4.9,6.1,7,7.4,13.5,11.6,13.9,7.5,6.5,9.2,4.7,96.9,3.1,96.9,80.5,6.4,0.5,3.5,14.9,0.1
South Carolina,38.055,5.8,6.2,6.3,6.7,6.6,13,12.3,13,6.7,6.5,10.4,4.6,97.8,2.2,97.8,67.4,27,0.3,1.5,5.5,0.1
South Dakota,36.427,7,7.1,6.7,6.9,6.9,12.9,11.4,11.8,7,6.5,8.9,4.6,97.5,2.5,97.5,84.7,1.7,8.9,1.5,3.7,0
Tennessee,37.6485,6.1,6.2,6.4,6.5,6.7,13.3,12.6,13.4,6.7,6.3,9.4,4.6,97.9,2.1,97.9,77.8,16.8,0.3,1.7,5.2,0.1
Texas,34.929,7.2,7.3,7.4,7.2,7.1,14.6,13.5,12.6,6,5.2,7.2,3.5,97.4,2.6,97.4,74.3,12.1,0.5,4.7,39.1,0.1
Utah,32.4305,8.3,8.8,8.3,7.9,8.3,14.7,13.4,10.3,5,4.6,6.2,3.1,97.1,2.9,97.1,86.3,1.1,1,2.3,13.8,1
Vermont,39.6415,4.9,5.3,5.4,6.7,7.3,11.5,11.3,13.9,7.9,7.6,11,4.9,98,2,98,94.4,1.3,0.3,1.5,2,0
Virginia,37.373,6,6.2,6.2,6.7,6.9,13.7,13,13.8,6.8,6.1,8.8,4.2,96.3,3.7,96.3,67.8,19,0.3,6.3,9,0.1
Washington,37.226,6.2,6.4,6.1,6.2,6.6,14.7,13,13.1,6.7,6.3,9,4,94.3,5.7,94.3,75.7,3.7,1.3,8.2,12.4,0.7
West Virginia,39.368,5.6,5.6,5.8,6.2,6.3,11.8,12.2,13.3,7.4,7.1,11.1,5.3,98.3,1.7,98.3,93.1,3.8,0.2,0.8,1.5,0
Wisconsin,37.797,5.8,6.2,6.3,6.6,7,12.6,11.9,13.5,7.4,6.6,9.2,4.7,97.6,2.4,97.6,85.5,6.3,0.9,2.7,6.7,0
Wyoming,36.8745,6.5,7.5,6.4,6.4,6.5,13.8,12.3,11.8,6.7,7.1,9.2,4.1,97.4,2.6,97.4,92,1,2.3,1,9.6,0.1
Puerto Rico,39.0925,4.7,5.4,6.2,7,7.2,12.1,12.9,12.9,6.5,6.2,10.7,6,95.7,4.3,95.7,66.8,11.6,0.2,0.2,98.7,0
