Geographic Area Name,Mean AGE ,Percent under 19 years,Percent between 19-45 years,Percent between 45-65,Percent over 65,Percent RACE One  RACE White,Percent Two or more races,Percent RACE One  RACE Black or African American,Percent RACE One  RACE American Indian and Alaska Native,Percent RACE One  RACE Asian,Percent HISPANIC OR LATINO AND  RACE Total population Hispanic or Latino (of any  RACE ),Percent RACE One  RACE Native Hawaiian and Other Pacific Islander,Percent some other race,18-24 no highschool,18-24 high school,18-24 bachelor plus,25+ no highschool,25+ high school plus,25+ bachelor plus
Alabama,37.8205,25.4,38.6,26.5,14.4,68.2,1.7,26.8,0.5,1.3,4.1,0,1.6,13.7,32.1,7.1,14.9,85.1,15.4
Alaska,34.9185,27.8,44.3,25.5,9.3,64.4,8.6,3.2,14.6,6.1,6.9,1.3,2.1,14,39.3,7.4,6.9,93.1,19
Arizona,37.3725,26.4,39.5,24.2,15.1,75.8,3.6,4.3,4.4,3.2,30.9,0.2,9.3,15.5,33,7.7,13.3,86.7,18.1
Arkansas,37.1995,26.8,38,25.3,14.4,76.6,2.6,15.5,0.6,1.4,7.2,0.3,3.3,15.6,33.1,7.6,14,86,14.2
California,36.1845,25.8,42.6,25.1,11.8,59.7,4.8,5.8,0.7,14.3,38.9,0.4,15.5,11.7,29.9,10,17.6,82.4,20.6
Colorado,36.678,25.3,42.6,25.6,12,84,3.3,4.2,1,3.2,21.3,0.2,4.8,12.7,32.1,11.6,8.6,91.4,24.9
Connecticut,38.13,24.1,38.1,28.8,13.6,76.7,3.1,10.6,0.3,4.5,15.7,0,5.5,9.4,29.5,15.5,9.5,90.5,21.9
Delaware,38.651,24.1,37.5,27,15.6,69.2,2.7,22,0.4,3.7,9.2,0.2,1.9,16.8,34.7,9.5,10.7,89.3,18.4
District of Columbia,35.648,20.9,54.4,21.7,10.1,40.7,2.6,47.1,0.3,3.9,10.9,0,5.9,7.8,28.9,24,9.5,90.5,24
Florida,39.55,22.5,37.1,26.7,17.3,75.6,2.6,16.1,0.3,2.7,24.9,0.1,3.2,15.5,30.6,9,12.6,87.4,18.2
Georgia,36.261,27.3,40.8,25.6,11.9,58.7,2.5,31.6,0.4,3.9,9.3,0.1,3.3,16.2,32.7,9.2,13.6,86.4,18.7
Hawaii,37.437,23.7,40.8,25.3,14.3,25.1,23.9,1.8,0.2,38,10.4,10.1,2.1,7.3,41.3,9.8,8,92,21.4
Idaho,36.158,28.7,38.7,24.1,13.5,89.7,2.5,0.7,1.6,1.5,12.3,0.1,4.4,12,36.1,6.1,9.6,90.4,18.7
Illinois,36.909,25.5,40.3,26.3,12.6,71.3,2.5,14.2,0.2,5.3,17,0,7,12,28.8,13.8,11.2,88.8,20.9
Indiana,36.8125,26.6,39.6,26,13.1,83.5,2.4,9.3,0.3,2.1,6.8,0.1,2.7,15.9,30.6,9.8,11.6,88.4,16.3
Iowa,37.0205,26.3,38.6,25.8,13.9,90.4,1.8,3.6,0.3,2.4,5.7,0.1,1.5,11.2,27.3,10.8,8.2,91.8,19.1
Kansas,36.19,27.7,39.8,24.9,12.9,84.6,3.6,5.7,0.7,2.7,11.6,0.1,2.9,12.5,28.7,10.3,9.5,90.5,20.7
Kentucky,37.582,25.8,38.6,26.8,13.8,87.1,2.1,8.3,0.3,1.4,3.4,0.1,1.1,13.4,33.6,8.7,14.3,85.7,14
Louisiana,36.534,26.6,40.6,25.3,12.7,62,2,32.4,0.5,1.7,4.9,0,1.6,17.5,35.5,7.4,15.6,84.4,15.2
