NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry
Alabama,39.8,22.2,17.6,77.8,65.1,25.9,0.4,64.2,0.1,2.1,1.1,861,512350,5.3,70.0,29.8,90.1,0,27.4,31.3,0.2
Alaska,35.6,24.5,13.4,75.5,59.4,3.0,1.5,57.9,3.7,2.6,5.5,1259,81689,7.0,66.8,20.1,88.6,0,32.8,27.9,0.3
Arizona,38.6,22.2,18.3,77.8,58.3,4.5,0.9,52.0,0.7,9.5,1.1,1253,849618,5.8,67.6,22.7,89.3,0,32.4,23.5,0.6
Arkansas,38.5,23.3,17.4,76.7,69.9,14.8,0.5,68.2,0.2,3.0,1.8,820,343038,5.5,67.0,30.0,90.8,0,25.3,34.1,0.2
California,37.6,22.4,15.2,77.6,39.4,5.5,1.6,34.3,3.3,19.2,0.7,1750,5602975,8.3,55.9,24.4,93.0,0,36.2,20.7,0.9
Colorado,37.6,21.4,15.1,78.6,70.6,3.9,1.1,65.2,0.3,6.2,1.2,1491,726098,5.3,66.8,19.9,92.0,0,44.4,20.1,0.5
Connecticut,41.1,20.2,18.0,79.8,65.3,10.6,0.7,62.7,0.5,7.3,0.4,1277,448432,6.7,66.6,21.7,94.8,0,42.1,25.5,0.5
Delaware,41.6,20.8,20.1,79.2,60.8,20.8,0.6,59.3,0.6,4.6,1.1,1208,101774,5.6,72.6,21.9,94.3,0,35.6,28.3,0.8
District of Columbia,34.8,18.8,12.8,81.2,37.9,43.2,1.1,36.4,0.4,4.9,0.3,1668,175662,8.2,41.6,18.9,96.3,0,63.0,14.8,0.9
Florida,42.8,19.7,21.1,80.3,56.1,15.1,0.5,51.1,0.5,6.5,0.5,1348,2603280,5.6,67.4,24.2,87.9,0,33.2,27.7,0.7
Georgia,37.5,23.4,14.7,76.6,51.9,30.8,0.5,50.2,0.3,3.7,1.0,1153,1255980,5.5,66.0,24.0,87.4,0,34.6,26.7,0.4
Hawaii,40.2,21.1,19.6,78.9,22.2,2.0,5.1,20.8,14.8,1.9,0.7,1774,168986,7.7,62.6,26.3,96.1,0,35.3,26.3,0.1
Idaho,37.3,24.7,16.5,75.3,81.4,0.7,0.9,78.7,0.2,5.7,1.4,1035,180255,3.3,71.9,24.3,91.2,0,30.7,26.9,0.2
Illinois,39.0,22.1,16.6,77.9,61.3,13.6,0.7,58.9,1.0,7.5,0.8,1106,1495151,7.4,67.5,22.8,93.0,0,37.1,25.1,0.7
Indiana,38.2,23.3,16.4,76.7,78.0,8.8,0.5,76.6,0.2,3.1,1.3,905,715246,4.7,71.1,24.0,92.5,0,28.9,33.3,0.3
Iowa,38.5,23.1,17.8,76.9,84.5,3.6,0.6,83.0,0.2,2.2,0.9,847,334298,3.6,71.9,23.7,95.2,0,30.5,30.3,0.4
