NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry
Kansas,37.3,23.9,16.7,76.1,76.0,5.3,0.6,73.4,0.2,4.4,1.7,904,353831,4.4,67.0,24.9,90.8,0,35.4,25.4,0.3
Kentucky,39.1,22.5,17.0,77.5,83.3,7.2,0.4,82.7,0.1,1.4,1.6,830,498748,5.4,68.7,29.6,94.3,0,27.0,32.7,0.3
Louisiana,38.0,23.4,16.6,76.6,57.9,31.2,0.3,56.9,0.2,1.9,1.0,924,506752,7.6,67.3,31.8,92.4,0,26.4,32.8,0.5
Maine,44.7,18.2,21.7,81.8,90.5,1.5,0.6,90.0,0.2,0.9,1.2,945,134802,4.9,74.8,23.3,94.3,0,36.0,29.6,0.4
Maryland,39.3,22.1,16.3,77.9,49.0,29.4,0.9,47.8,0.7,6.6,0.5,1473,716566,5.9,67.8,20.1,93.9,0,42.5,23.8,0.6
Massachusetts,39.9,19.5,17.4,80.5,69.2,6.7,0.9,67.5,0.2,5.7,0.4,1487,956173,6.6,63.2,21.0,97.5,0,46.6,22.8,1.1
Michigan,40.2,21.4,18.1,78.6,74.0,13.4,0.7,72.9,0.3,1.9,0.8,969,999247,6.9,73.2,24.5,95.0,0,31.7,28.7,2.2
Minnesota,38.8,22.9,16.8,77.1,77.7,6.8,0.9,76.9,0.3,2.6,1.1,1113,580134,4.9,73.0,20.6,95.5,0,38.9,23.3,0.5
Mississippi,38.6,23.5,16.8,76.5,56.1,36.1,0.4,55.4,0.1,1.4,1.4,831,290572,6.4,69.7,31.8,88.1,0,24.8,29.8,0.2
Missouri,39.2,22.4,17.6,77.6,77.4,10.8,0.6,76.6,0.2,1.7,1.5,882,710465,4.6,68.8,25.6,90.6,0,31.7,30.8,0.4
Montana,40.1,21.3,19.7,78.7,85.1,0.5,0.4,83.8,0.2,1.3,2.2,883,123399,4.0,69.5,23.8,91.8,0,34.8,26.8,0.2
Nebraska,37.2,24.6,16.4,75.4,78.5,4.7,0.8,76.4,0.2,4.6,0.9,912,234787,2.7,67.8,23.7,92.9,0,34.4,25.2,0.6
Nevada,38.7,22.2,16.5,77.8,49.6,9.2,1.6,45.2,4.4,12.9,0.9,1311,455206,9.7,59.1,23.3,88.4,0,27.6,27.2,0.6
New Hampshire,43.1,18.4,19.3,81.6,87.9,1.5,0.8,87.3,0.1,1.4,0.9,1263,142682,3.6,72.5,16.9,94.9,0,40.2,26.6,0.6
New Jersey,40.3,21.8,16.9,78.2,54.6,12.9,0.7,52.1,1.3,10.0,0.3,1457,1181514,8.1,64.4,21.1,92.8,0,43.1,25.5,1.3
New Mexico,39.1,22.3,18.5,77.7,45.1,2.0,0.5,34.9,0.5,14.3,1.5,906,229666,7.8,69.5,28.7,90.0,0,30.1,25.7,0.3
New York,39.8,20.7,17.5,79.3,55.6,14.2,0.7,53.5,0.6,10.2,0.4,1409,3224273,8.7,55.4,24.3,94.8,0,39.9,24.4,0.9
North Carolina,39.4,21.8,17.0,78.2,62.4,20.1,0.6,60.9,0.2,4.9,1.2,1026,1262320,5.8,66.9,25.2,89.6,0,34.9,24.9,0.5
North Dakota,35.8,23.6,16.0,76.4,83.1,2.9,0.4,82.3,0.1,1.5,2.0,839,110561,2.9,63.1,24.1,92.1,0,31.7,26.3,0.2
Ohio,39.6,22.1,17.8,77.9,77.3,11.9,0.5,76.6,0.2,1.6,1.0,870,1449615,5.4,67.2,24.5,93.5,0,30.7,32.8,0.8
Oklahoma,37.2,24.0,16.2,76.0,65.6,6.9,0.6,62.8,0.2,3.6,5.6,855,480928,5.9,65.5,27.4,86.2,0,27.9,30.7,0.3
Oregon,40.1,20.2,18.6,79.8,74.6,1.9,1.4,72.0,0.5,5.5,1.8,1282,581385,6.4,63.8,25.2,93.9,0,36.3,21.9,0.5
Pennsylvania,40.9,20.6,19.0,79.4,74.9,10.4,0.6,73.6,0.2,3.9,0.6,1036,1449302,6.4,69.9,23.2,94.5,0,34.5,33.3,0.6
Rhode Island,40.6,19.0,18.3,81.0,70.8,5.0,0.8,68.9,0.3,8.8,0.5,1142,153253,7.7,63.3,24.3,95.7,0,36.5,27.7,0.8
South Carolina,40.2,21.5,18.6,78.5,63.6,25.0,0.5,62.6,0.3,2.7,1.1,976,510449,5.6,71.8,26.5,90.0,0,31.5,28.5,0.4
South Dakota,37.6,24.6,17.6,75.4,80.7,2.0,0.6,80.0,0.3,1.4,2.0,830,98927,2.8,69.4,22.3,90.5,0,31.7,29.3,0.2
Tennessee,39.2,22.0,17.0,78.0,73.1,15.5,0.5,72.1,0.2,2.6,1.3,981,821320,5.3,67.5,25.8,90.0,0,30.5,31.2,0.6
Texas,35.5,25.3,13.2,74.7,47.9,11.9,0.6,39.4,0.4,10.2,0.8,1167,3766511,6.2,62.6,23.9,82.0,0,33.1,24.6,0.6
Utah,31.8,28.3,11.6,71.7,79.3,1.1,1.1,76.0,0.3,5.7,0.9,1208,313463,3.5,69.7,24.3,91.0,0,36.8,22.1,0.3
Vermont,42.9,18.1,20.6,81.9,91.1,1.1,0.6,90.6,0.1,0.7,1.3,1115,69275,4.2,72.7,22.7,96.3,0,44.4,26.2,0.2
Virginia,38.8,21.8,16.3,78.2,60.8,18.4,1.2,59.2,0.9,4.0,0.8,1331,1005670,4.8,67.6,21.1,93.2,0,41.8,23.9,1.0
Washington,38.2,21.7,16.2,78.3,66.4,4.0,1.9,64.3,1.4,5.8,1.5,1484,1028467,5.9,64.0,20.5,93.6,0,39.0,21.6,0.5
West Virginia,42.8,20.3,20.7,79.7,90.7,2.8,0.3,90.4,0.1,0.5,1.5,767,148425,6.2,75.2,31.7,93.9,0,24.1,39.1,0.4
Wisconsin,40.1,21.6,17.9,78.4,80.3,6.2,0.6,79.0,0.2,2.4,0.9,921,731957,3.5,68.1,22.3,94.6,0,32.5,30.0,0.3
Wyoming,39.0,22.7,17.9,77.3,84.6,1.2,0.6,81.5,0.2,3.5,1.9,889,63852,3.7,71.4,22.8,87.8,0,29.2,27.3,0.3
