NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry
Ohio,39.9,21.8,18.8,78.2,76.6,11.9,6.8,2.0,2.6,0.0,1.8,1014,1503907,4.0,67.1,24.7,93.9,0,32.0,31.8,0.7
Oklahoma,37.1,23.8,16.7,76.2,64.6,6.8,15.0,9.7,2.3,0.0,3.8,1020,497977,4.6,65.1,28.5,88.6,0,28.7,30.6,0.3
Oregon,40.7,19.6,19.6,80.4,73.9,2.1,12.9,11.6,4.6,0.1,5.1,1481,605980,4.1,63.4,24.8,94.5,0,37.7,22.1,0.5
Pennsylvania,41.1,20.2,20.0,79.8,74.0,10.6,7.4,1.5,3.9,0.0,3.9,1197,1502759,4.2,69.5,23.3,94.6,0,35.3,33.1,0.6
Rhode Island,40.8,18.5,19.4,81.5,69.7,5.4,13.5,1.3,3.4,0,7.2,1365,149895,4.8,64.0,23.2,95.5,0,39.0,26.4,0.5
South Carolina,40.5,21.3,19.3,78.7,63.6,24.4,7.0,3.4,1.8,0.0,2.8,1170,536166,4.3,72.4,26.2,90.9,0,32.9,28.2,0.3
South Dakota,38.5,23.8,18.4,76.2,80.5,2.5,6.1,2.7,1.5,0,1.7,921,106876,2.6,69.4,21.7,91.7,0,33.3,27.7,0.2
Tennessee,39.1,21.9,17.5,78.1,72.3,15.3,7.4,3.6,1.8,0,2.8,1214,858309,4.0,67.3,25.0,90.7,0,31.7,31.0,0.5
Texas,35.9,24.7,13.8,75.3,47.7,12.3,23.3,31.7,5.7,0.0,9.9,1413,3957132,4.4,62.6,24.2,83.6,0,34.2,24.2,0.5
Utah,32.3,27.3,12.2,72.7,78.6,1.1,9.5,10.5,2.5,0.1,6.2,1551,333554,3.3,70.1,23.6,92.0,0,38.4,22.2,0.3
Vermont,43.7,17.7,22.2,82.3,89.9,1.2,5.8,0.5,1.7,0,1.1,1202,70129,2.6,73.2,24.1,96.6,0,43.7,27.1,0.6
Virginia,39.3,21.5,17.2,78.5,59.8,18.4,9.8,2.6,6.9,0.0,4.6,1567,1024738,3.7,67.8,21.6,93.6,0,42.4,24.1,1.1
Washington,38.6,21.1,17.1,78.9,65.2,4.0,13.1,11.2,10.0,0.1,5.7,1731,1076176,4.5,63.7,21.6,93.7,0,40.5,21.6,0.5
West Virginia,42.8,19.9,21.5,80.1,90.1,3.2,5.0,0.8,0.7,0,0.9,850,162914,4.5,73.5,31.8,94.1,0,24.0,39.7,0.3
Wisconsin,40.5,21.0,19.2,79.0,79.9,5.9,7.6,5.5,3.0,0,2.7,1071,751453,2.8,67.9,21.9,95.1,0,33.8,29.5,0.2
Wyoming,39.3,22.3,19.2,77.7,84.3,0.7,8.3,8.1,0.9,0,3.4,1000,64570,3.2,71.2,22.8,89.3,0,30.4,27.5,0.1
