NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry,Year
Alabama,38.2,72.2,52.4,14.5,69.1,26.5,1.6,2.7,1.2,0.0,1.1,689,12.5,10.0,31.2,31.6,86.7,68525,23.3,22.0,0.2,2012
Alaska,33.8,70.1,47.8,8.5,66.5,3.6,8.0,3.3,5.9,1.1,0.9,1120,14.1,7.8,36.6,17.7,79.5,95924,28.0,27.7,0.2,2012
Arizona,36.6,71.0,50.7,14.8,78.8,4.4,2.9,27.2,2.9,0.2,6.4,888,12.6,9.8,37.4,27.3,82.4,74275,27.3,25.7,0.5,2012
Arkansas,37.6,71.5,51.7,15.0,78.3,15.7,2.0,5.2,1.3,0.2,2.0,640,13.1,8.4,33.8,32.2,83.6,64235,21.0,22.5,0.2,2012
California,35.5,71.2,50.7,12.1,62.1,6.0,4.4,31.8,13.5,0.4,12.9,1200,10.3,11.4,46.0,27.8,82.1,91046,30.9,22.1,0.8,2012
Colorado,36.2,72.0,50.1,11.8,84.4,4.2,3.3,15.7,2.8,0.1,4.2,934,12.9,7.8,36.0,24.8,85.3,90152,37.5,22.9,0.4,2012
Connecticut,40.4,73.5,52.0,14.8,78.1,10.2,2.6,1.5,4.1,0.1,4.6,1019,12.1,9.7,33.1,20.8,90.9,114025,37.1,17.6,0.8,2012
Delaware,39.2,72.9,52.3,15.4,69.7,21.5,2.6,3.3,3.3,0.0,2.5,960,12.9,8.8,29.2,23.4,91.2,86132,29.5,20.3,0.2,2012
District of Columbia,33.7,77.0,53.3,11.4,39.6,49.5,2.5,1.3,3.5,0.0,4.5,1235,13.1,10.3,58.5,20.9,94.1,129347,53.0,14.0,0.6,2012
Florida,41.1,75.3,51.7,18.2,76.3,16.1,2.4,3.4,2.5,0.1,2.4,954,10.2,11.5,34.4,27.2,79.9,75292,26.8,20.8,0.6,2012
Georgia,35.7,70.2,51.8,11.5,60.4,30.9,2.0,5.5,3.4,0.0,3.0,837,12.0,11.0,36.3,29.1,81.6,75450,28.2,21.4,0.3,2012
Hawaii,38.3,74.3,49.9,15.1,24.9,1.8,23.3,2.8,38.2,10.4,1.1,1379,10.5,7.1,43.1,23.5,93.1,92346,30.1,22.0,0.2,2012
Idaho,35.2,69.2,50.4,13.2,91.4,0.5,2.5,9.7,1.3,0.1,2.9,702,14.5,8.0,31.6,29.9,83.8,67369,25.5,27.6,0.1,2012
Illinois,37.0,72.0,51.6,13.2,72.7,14.4,2.2,13.0,4.8,0.0,5.7,868,12.6,10.2,33.4,25.4,87.2,88826,31.6,21.4,0.6,2012
Indiana,37.3,71.2,51.4,13.6,84.3,9.2,2.2,4.8,1.6,0.0,2.4,715,13.4,8.8,30.6,27.7,85.7,72072,23.4,20.7,0.3,2012
Iowa,38.0,71.9,50.9,15.3,91.7,3.0,2.0,4.2,1.8,0.1,1.2,661,14.3,5.3,28.1,25.4,91.6,77465,26.3,21.9,0.3,2012
Kansas,36.0,70.2,50.7,13.7,85.5,5.8,3.2,9.5,2.5,0.1,2.0,711,14.4,6.5,33.6,26.4,87.4,79648,30.4,24.4,0.3,2012
Kentucky,38.4,72.5,51.4,14.0,87.8,7.9,2.0,1.8,1.3,0.0,0.9,636,12.8,9.3,33.0,33.5,86.1,67293,21.8,20.7,0.3,2012
Louisiana,36.0,71.2,51.8,13.0,62.8,32.2,1.7,1.7,1.6,0.0,1.1,747,11.8,8.8,34.3,31.5,83.1,71928,22.0,21.5,0.4,2012
Maine,43.5,75.9,51.7,17.0,95.1,1.0,2.0,0.4,1.1,0.0,0.2,744,12.4,7.6,28.6,26.8,89.8,73506,28.0,19.8,0.3,2012
Maryland,38.1,73.0,52.3,13.0,58.1,29.2,3.1,1.7,5.8,0.0,3.4,1170,12.6,8.3,33.5,20.7,89.7,108034,36.9,19.8,0.5,2012
Massachusetts,39.5,74.0,52.3,14.5,80.1,7.1,2.8,0.6,5.7,0.0,4.1,1036,12.6,8.5,37.8,23.6,96.1,107088,39.3,16.8,1.1,2012
Michigan,39.5,72.5,51.6,14.6,79.3,14.0,2.6,3.4,2.5,0.0,1.0,748,11.3,11.3,28.9,29.8,88.6,75349,26.0,23.9,1.7,2012
Minnesota,37.6,72.2,50.8,13.6,85.5,5.3,2.5,3.5,4.2,0.0,1.4,813,13.5,6.3,28.6,23.4,92.0,91409,33.2,22.3,0.4,2012
Mississippi,36.2,69.8,52.5,13.5,59.3,37.6,1.1,1.6,0.8,0.0,0.8,666,11.4,11.3,31.8,35.1,83.0,61606,20.7,22.7,0.2,2012
Missouri,38.2,72.3,51.7,14.7,82.7,11.5,2.4,2.6,1.7,0.1,1.2,706,12.4,8.6,32.5,28.3,86.4,73351,26.4,22.8,0.3,2012
Montana,40.2,73.7,50.2,15.8,89.2,0.4,2.6,2.1,0.6,0.1,0.6,681,13.8,7.2,32.9,29.5,82.0,73329,29.4,25.3,0.2,2012
Nebraska,36.3,70.7,50.8,13.8,88.1,4.6,2.1,7.6,2.0,0.1,2.3,692,15.0,5.3,33.7,23.7,88.7,77606,29.0,24.1,0.4,2012
Nevada,36.8,72.2,49.9,13.0,69.7,8.3,4.1,20.7,7.5,0.7,8.6,944,12.7,12.3,45.1,24.4,77.8,74437,22.4,26.2,0.6,2012
New Hampshire,41.9,74.5,51.3,14.7,94.0,1.3,1.8,0.9,2.3,0.0,0.4,967,12.8,6.5,29.1,18.9,89.4,94164,34.6,18.4,0.7,2012
New Jersey,39.4,73.2,51.9,14.1,68.9,13.6,2.5,2.5,8.7,0.0,5.9,1148,11.9,10.1,34.9,20.8,87.3,109594,36.2,17.1,1.2,2012
