NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry,Year
New Mexico,36.8,70.7,50.9,14.1,71.9,2.1,3.2,29.5,1.3,0.1,12.2,753,12.1,10.3,32.3,29.1,81.6,67081,26.1,23.6,0.2,2012
New York,38.1,73.8,52.3,14.1,65.2,15.6,2.7,2.4,7.7,0.0,8.4,1079,11.2,9.2,46.3,25.0,89.1,94367,33.4,16.5,0.8,2012
North Carolina,37.8,72.1,52.0,13.8,69.9,21.6,2.3,5.5,2.3,0.1,2.6,756,13.4,10.8,34.6,29.0,83.4,72572,27.4,22.0,0.3,2012
North Dakota,36.2,72.4,49.1,14.4,89.5,1.5,2.0,1.6,1.0,0.2,0.6,644,14.3,3.3,35.0,23.4,90.0,88627,27.9,23.5,0.1,2012
Ohio,39.3,72.7,51.8,14.8,82.7,12.2,2.3,1.6,1.7,0.0,0.8,700,13.3,9.1,33.7,27.7,88.5,75603,25.2,20.9,0.6,2012
Oklahoma,36.3,71.0,51.0,14.1,73.5,7.2,7.7,7.7,1.8,0.1,2.3,686,13.5,6.8,33.6,28.5,81.6,70924,23.8,24.0,0.3,2012
Oregon,38.9,73.9,51.0,14.9,85.2,1.8,4.0,10.3,3.8,0.4,3.6,862,11.3,11.0,38.4,29.5,85.1,75817,29.9,26.7,0.5,2012
Pennsylvania,40.5,74.0,51.8,16.0,81.9,11.0,2.1,1.0,2.9,0.1,1.9,798,12.1,8.9,31.1,25.5,90.2,83372,27.8,16.5,0.5,2012
Rhode Island,39.8,74.0,52.5,15.1,81.7,6.5,2.8,1.1,3.2,0.0,5.4,878,13.4,9.4,40.0,26.4,88.9,88306,31.4,18.1,1.0,2012
South Carolina,38.3,72.3,52.1,14.7,67.0,27.7,2.0,2.8,1.3,0.0,1.7,754,12.3,11.2,31.9,29.7,83.2,68699,25.1,21.1,0.2,2012
South Dakota,36.7,70.8,50.2,14.5,85.4,1.6,2.1,1.8,1.1,0.1,0.9,651,15.4,4.7,32.9,25.5,88.5,75013,26.3,21.7,0.2,2012
Tennessee,38.2,72.6,52.0,14.3,78.0,16.9,1.8,3.1,1.5,0.0,1.4,730,13.0,9.5,33.3,29.3,86.1,70434,24.3,21.3,0.4,2012
Texas,33.9,68.7,50.8,10.9,75.0,11.9,2.4,33.5,4.0,0.1,6.1,831,13.8,8.0,37.7,26.8,77.5,80319,26.7,22.9,0.4,2012
Utah,29.9,64.2,50.2,9.5,88.1,1.1,2.4,9.6,2.2,0.9,4.2,851,13.0,6.8,30.4,28.0,85.5,79892,30.7,27.5,0.3,2012
Vermont,42.4,75.0,51.2,15.7,95.1,1.0,2.0,0.4,1.3,0.0,0.2,860,12.4,6.4,29.0,24.1,93.5,82408,35.8,16.4,0.4,2012
Virginia,37.5,72.9,51.5,13.0,69.2,19.3,3.2,2.1,5.7,0.1,2.3,1068,12.7,6.9,33.8,23.1,87.5,97987,35.5,20.0,0.9,2012
Washington,37.5,73.0,50.5,13.2,78.3,3.6,5.0,9.4,7.4,0.6,3.7,954,12.4,8.7,37.7,24.5,86.1,88769,31.7,25.4,0.4,2012
West Virginia,41.5,75.1,51.3,16.8,93.7,3.3,1.9,0.5,0.7,0.0,0.2,607,12.6,8.0,28.0,32.5,85.6,64479,18.6,19.0,0.5,2012
Wisconsin,38.8,72.6,50.8,14.4,86.7,6.3,2.0,4.5,2.4,0.0,1.7,743,13.9,7.3,32.7,25.3,91.0,79660,27.1,21.2,0.2,2012
Wyoming,36.9,71.7,49.4,13.0,90.9,1.0,3.1,6.7,1.0,0.0,1.9,742,13.1,5.6,31.0,24.4,84.6,80488,24.7,26.6,0.1,2012
