,0,1,2
0,0.3782377,0.5553856,0.022742009
1,0.3623419,0.52425414,0.058126505
2,0.47458267,0.45551315,0.029383538
3,0.37342906,0.5831539,0.030927265
4,0.5673045,0.26495028,0.027601708
5,0.49328804,0.40500444,0.045540094
6,0.5383659,0.4036242,0.026308594
7,0.4743803,0.38705206,0.02689569
8,0.70491123,0.2550196,0.029701913
9,0.43637514,0.46727595,0.018579295
10,0.47429514,0.43240976,0.023747835
11,0.5258545,0.34132615,0.030724837
12,0.33554247,0.5190357,0.049024995
13,0.49763325,0.40894026,0.028681118
14,0.42551658,0.46532604,0.029078014
15,0.4052945,0.459325,0.03292037
16,0.41495535,0.49055403,0.03175974
17,0.41391551,0.5199583,0.030756148
18,0.37706363,0.5296058,0.02279181
19,0.44150624,0.40485495,0.042803507
20,0.44598362,0.3292852,0.02447203
21,0.49639523,0.3721436,0.029698392
22,0.44505367,0.46773463,0.026033316
23,0.48200843,0.43260685,0.032014206
24,0.34399348,0.6048693,0.02283786
25,0.407542,0.5235151,0.02622773
26,0.36443686,0.5223614,0.03254235
27,0.41617194,0.42046928,0.04163881
28,0.47071737,0.45180544,0.026261123
29,0.48353103,0.38211614,0.033702847
30,0.38083363,0.4720203,0.02477936
31,0.55221003,0.35921252,0.03541744
32,0.6413464,0.3807745,0.020557238
33,0.46853873,0.45730433,0.026476571
34,0.37195304,0.5056745,0.03769639
35,0.432064,0.46973744,0.028034432
36,0.35263595,0.5175424,0.04065291
37,0.48642436,0.39616203,0.037005056
38,0.47838873,0.42060646,0.026785994
39,0.5122023,0.4054262,0.03032119
40,0.4110931,0.50426406,0.021788763
41,0.40354392,0.55203784,0.047754593
42,0.40192738,0.5163362,0.025907498
43,0.5485426,0.39125082,0.03398055
44,0.32154343,0.5079163,0.057803728
45,0.44271472,0.3678867,0.03202709
46,0.3947002,0.42084146,0.02696566
47,0.3548941,0.43744507,0.036539603
48,0.3484964,0.6346277,0.026928805
49,0.48311242,0.4298004,0.02609648
50,0.32842174,0.5274227,0.03644495
