,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Population,35436,38926,38556,36630,38981,38816,39732,38733,34623,33016,33334,39328,39671,34006,24508,17030,10024,9998
Percentage of total population (*100%),0.060954884,0.066958173,0.066321721,0.063008731,0.067052781,0.066768958,0.068344606,0.066626186,0.05955641,0.056792145,0.05733915,0.067649669,0.068239677,0.058495084,0.042157193,0.029293986,0.017242684,0.017197961
